RAJ2000,DEJ2000,redshift
117.876108,39.976782,0.096049
117.878146,39.995846,0.097127
117.934507,40.049135,0.09727
118.044271,40.391999,0.093182
118.388365,40.695912,0.097156
118.907535,41.07324,0.077804
118.791397,41.138964,0.074727
118.934888,41.203932,0.074258
119.044089,41.152911,0.073222
119.063744,41.267481,0.041074
119.052797,41.357021,0.075751
119.822476,42.008524,0.043654
119.943736,42.257429,0.043601
119.864198,42.213133,0.092295
119.970461,42.277222,0.08812
120.006912,42.351655,0.085297
120.195996,42.423499,0.106353
120.173946,42.724829,0.089619
120.597684,43.003754,0.097803
120.576944,43.092212,0.098473
120.688864,43.232554,0.092689
121.096385,43.582581,0.040873
122.004018,44.426416,0.096204
123.399055,45.861647,0.049067
123.571198,46.010307,0.049875
124.499147,46.570762,0.040591
125.038725,47.190739,0.054769
124.945579,47.270251,0.053452
125.09224,47.227658,0.056328
125.177895,47.321841,0.054219
125.287462,47.27747,0.055896
125.666799,47.8373,0.092668
125.908475,47.941073,0.053237
126.595609,48.454452,0.071964
126.635887,48.651724,0.07773
126.591397,48.645167,0.077079
126.698819,48.678529,0.078663
126.686422,48.698724,0.077413
126.815701,48.720814,0.071862
126.954862,48.737,0.072158
127.025282,48.898366,0.11705
127.71493,49.438836,0.072502
128.292321,49.668236,0.052629
128.765071,50.081473,0.118438
128.797622,50.281264,0.096832
129.783659,50.837633,0.073135
129.864418,50.833877,0.097631
129.927659,50.953891,0.119572
130.385791,51.437094,0.095727
130.47813,51.479512,0.115223
130.471523,51.477135,0.116833
130.513203,51.506594,0.118059
130.775539,51.430374,0.115182
130.847666,51.541231,0.091187
130.786361,51.678529,0.115422
130.875915,51.659575,0.114856
130.951944,51.725879,0.115422
130.873698,51.771393,0.113776
131.691538,52.081889,0.119571
132.007585,52.382011,0.115399
131.953981,52.403343,0.093822
132.053471,52.376234,0.094278
132.302201,52.561324,0.057593
132.631955,52.865215,0.094175
132.950122,52.882055,0.114537
132.845143,52.891011,0.114193
132.861432,52.918832,0.113546
132.943789,52.914993,0.112368
132.977593,52.900958,0.114569
133.027219,52.932816,0.031758
133.100385,52.999023,0.041412
132.981714,53.004114,0.11371
133.074936,52.990028,0.113657
133.123544,53.217672,0.085683
133.307054,53.226877,0.072449
133.987264,53.540668,0.08672
134.021293,53.552438,0.084591
134.10189,53.806394,0.095523
134.426662,53.983543,0.09958
134.64312,54.036907,0.036969
134.799667,54.043139,0.038308
135.072794,54.340002,0.038613
135.099319,54.336432,0.094361
135.328642,54.228165,0.082881
135.380245,54.293337,0.099565
135.441024,54.46983,0.097304
135.676115,54.513227,0.091545
135.760065,54.667503,0.099492
136.228917,54.795622,0.082962
136.316484,54.832491,0.083044
136.187558,54.929272,0.082159
136.243977,54.9488,0.119352
136.330142,54.922731,0.119947
136.302392,55.015689,0.119626
136.526841,54.980901,0.082947
136.476089,55.035992,0.09939
136.540183,55.077564,0.082875
136.666381,55.22972,0.109883
136.850529,55.305722,0.109614
137.190682,55.505923,0.047877
138.066514,55.692793,0.031143
137.939565,55.656017,0.106745
137.92213,55.802757,0.112856
138.152311,55.72302,0.078917
138.1907,55.838729,0.101416
138.894984,56.108013,0.11373
139.280246,56.341249,0.088757
139.15457,56.45813,0.115872
140.086393,56.78683,0.046066
140.240543,56.919433,0.066423
140.37148,56.921466,0.112381
140.967968,57.03748,0.099457
142.785211,57.979955,0.070741
144.911637,58.649176,0.069621
146.565673,59.337238,0.115786
146.885146,59.435085,0.116666
146.862918,59.538983,0.115755
147.515638,59.717777,0.114376
148.295724,60.024554,0.075948
148.32431,60.06052,0.114075
148.68859,60.000162,0.089876
149.422558,60.412774,0.073304
115.330737,37.49021,0.084768
115.346055,37.559748,0.084813
115.346561,37.561106,0.085014
115.329818,37.608763,0.080158
115.65822,37.968195,0.073078
115.559973,38.095185,0.116375
115.902467,38.420262,0.095523
115.922044,38.415727,0.095217
116.157815,38.617473,0.062148
116.382635,38.847808,0.117953
116.273043,39.025957,0.088325
116.758925,39.415427,0.085362
116.81954,39.38647,0.08479
116.785743,39.440608,0.08666
116.872241,39.418363,0.0872
116.817646,39.511813,0.085613
116.893434,39.668191,0.097074
116.852597,39.691904,0.097172
116.900421,39.676063,0.09673
116.943309,39.687452,0.096533
117.141861,40.082142,0.097358
117.410386,40.18633,0.040503
118.000243,40.744544,0.0993
118.010147,40.98205,0.074528
118.284523,41.083812,0.074955
118.232487,41.148436,0.074734
119.225409,42.21075,0.111978
119.38595,42.516804,0.109228
119.650175,42.650443,0.094462
120.281182,43.506518,0.075373
120.866336,44.107677,0.096992
121.320683,44.400629,0.040365
121.220036,44.393771,0.083007
121.285785,44.519139,0.108339
122.277699,45.554316,0.047744
122.348857,45.48929,0.047097
123.21413,46.199264,0.054405
123.806894,46.720423,0.055335
124.46501,47.289106,0.056186
124.444301,47.329526,0.051986
124.541772,47.356502,0.054237
125.874476,48.446156,0.093136
125.926539,48.465239,0.093611
126.090056,48.614288,0.095604
126.461474,49.131376,0.052705
126.890722,49.502946,0.095215
128.399887,50.648586,0.117808
128.786766,50.784405,0.097802
129.15935,50.929705,0.044637
129.176986,51.02826,0.097531
129.017554,51.132553,0.0745
129.858235,51.68759,0.054521
130.046422,51.726864,0.054823
130.2613,51.800045,0.092331
130.009596,51.810241,0.097393
130.076586,51.874613,0.097099
130.283922,51.928607,0.097812
130.245687,51.960645,0.114372
130.510338,52.120186,0.114598
131.231127,52.4842,0.040707
131.509191,52.533121,0.052971
131.903221,52.830987,0.117491
132.33205,53.291756,0.111521
133.020575,53.617394,0.031034
133.252494,53.767707,0.11275
133.807632,54.077598,0.105511
133.76293,54.038994,0.09932
133.782013,54.060243,0.099746
133.810476,54.048596,0.099449
133.963684,54.22566,0.098866
134.218713,54.261405,0.112251
134.23825,54.426343,0.105606
134.482051,54.341909,0.11179
134.47445,54.370772,0.11165
134.50838,54.375068,0.08964
134.639812,54.504772,0.088524
134.651368,54.660038,0.094549
134.695857,54.687096,0.119228
135.217787,54.880613,0.116515
135.232426,54.892383,0.116176
135.245903,54.91807,0.079248
135.236408,54.954579,0.081897
136.034084,55.192228,0.11692
136.838485,55.642818,0.11835
137.450556,55.957,0.116128
137.474634,56.001818,0.116663
137.64373,56.130864,0.117285
137.824026,56.386213,0.103097
137.991878,56.322205,0.119619
138.186019,56.337867,0.08237
138.124882,56.375088,0.108167
139.168514,56.772302,0.067447
139.131264,56.858099,0.082017
139.643809,57.182299,0.067566
139.85323,57.095155,0.081598
139.898575,57.120282,0.082492
139.820591,57.206136,0.116157
140.679665,57.51786,0.049046
141.537955,57.830031,0.100872
141.582634,58.093185,0.102075
142.36029,58.169397,0.046704
142.260021,58.350283,0.0514
142.869371,58.575674,0.082441
143.202497,58.749466,0.047017
145.15982,59.469504,0.112918
145.217699,59.460998,0.117407
145.375477,59.42486,0.117134
147.410786,60.228539,0.089972
147.387704,60.254333,0.090135
147.560489,60.214865,0.115663
148.101834,60.358224,0.113885
148.400658,60.586524,0.114612
148.467366,60.59465,0.114805
113.551839,36.310251,0.114285
113.623788,36.424168,0.114622
114.027443,36.899695,0.098268
114.38713,37.069871,0.114354
114.717784,37.814991,0.085364
114.741312,37.813908,0.079841
114.761275,37.84925,0.079248
114.872626,37.820504,0.086853
114.754391,37.931494,0.086715
115.072357,38.285232,0.094852
115.56111,38.731822,0.117981
115.504395,38.860866,0.101815
115.563924,38.897977,0.060631
115.625235,39.040932,0.060693
116.107775,39.642638,0.040879
116.28706,39.696361,0.086
116.785735,40.392955,0.076464
117.130746,40.639362,0.096297
117.539218,40.987402,0.074193
117.592207,41.265023,0.041496
118.84596,42.446132,0.104489
119.066683,42.848374,0.112496
120.360133,44.193611,0.031372
120.430372,44.322847,0.079256
120.881518,44.642121,0.075314
120.824335,44.740353,0.075501
120.960294,44.740476,0.061765
121.321996,45.095822,0.047425
121.762756,45.676411,0.050225
121.756952,45.70816,0.049376
121.95641,45.74738,0.112327
121.964637,45.918206,0.031996
122.52287,46.193029,0.031603
122.679188,46.548334,0.031501
125.49325,49.001127,0.094754
125.674338,48.914195,0.095636
125.531854,49.003127,0.094285
125.709664,49.094089,0.109653
125.759674,49.253336,0.09575
126.560159,49.791489,0.119638
126.538052,49.845222,0.09631
128.493451,51.103277,0.07438
129.071184,51.540055,0.113161
129.532756,51.891982,0.114531
129.55098,51.901083,0.115789
129.8733,52.087138,0.097625
129.906645,52.157728,0.097227
129.90967,52.321042,0.097098
130.001468,52.404489,0.116335
130.164386,52.396371,0.114862
130.549298,52.543452,0.06677
130.532135,52.667846,0.113691
130.548873,52.773111,0.04462
130.673976,52.746372,0.044823
130.821647,52.757978,0.058749
130.892744,52.788917,0.113671
130.871611,53.02817,0.117392
131.139993,52.934174,0.112991
131.364209,53.258377,0.061659
131.630247,53.251392,0.086989
131.554623,53.443925,0.112986
131.5553,53.443327,0.112748
131.689908,53.281535,0.111924
131.586932,53.357695,0.113211
131.526634,53.439483,0.111695
131.580633,53.477257,0.114401
131.868847,53.577209,0.046378
131.672222,53.540833,0.113216
131.875116,53.643518,0.114407
131.948618,53.651064,0.11197
131.985332,53.706129,0.044181
132.114551,53.702679,0.1138
132.147608,53.692602,0.111753
132.123548,53.71097,0.112166
132.108897,53.729395,0.112359
132.186303,53.746179,0.083057
132.265151,53.749423,0.083769
132.179821,53.798308,0.044181
132.252489,53.78489,0.083521
132.608866,54.101754,0.109352
132.851071,54.069301,0.113915
132.72875,54.189477,0.113418
132.884907,54.056812,0.112419
133.19621,54.301287,0.096488
133.361231,54.391741,0.098173
